"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 20 17:08:49 IST 2023","Sat May 20 17:09:30 IST 2023","41441","chromium","","","","","Scroll the Page - The adventures of Tom Sawyer",""
"passed","Sat May 20 17:08:13 IST 2023","Sat May 20 17:08:58 IST 2023","45241","chromium","","","","","Check Audio book Play - A Happy Life",""
"passed","Sat May 20 17:08:13 IST 2023","Sat May 20 17:09:05 IST 2023","51343","chromium","","","","","Scroll the Page - Lord of the Rings",""
"passed","Sat May 20 17:08:13 IST 2023","Sat May 20 17:08:49 IST 2023","35700","chromium","","","","","Get Full Text Link - The wonderful wizard of Oz",""
"broken","Sat May 20 17:08:13 IST 2023","Sat May 20 17:10:30 IST 2023","136823","chromium","","","","","Get Full Text Link - The jungle book",""
